;;;;;;;;;;;;;;;;;;; $ 2.976.195,01 ;;;
DOMINIO;MARCA;MODELO;AÑO;PROVEEDOR;F/COMPRA;F/VENTA;GESTOR;RADIACION ANTERIOR;F/TITULO;RADIACION ACTUAL;ALTA;F/ENVIO ;BAJA;F/ENVIO ;GESTOR; DEUDA ;HONORARIOS;ARANCELES;DEUDA TOTAL;FECHA PAGO ;FECHA RESOLUCION ;
AF497QZ;NISSAN;FRONTIER PLATINUM 4X4 AT 2.3 D CD;2022;KYOTO;21/10/2024;2/10/2025;SOL;CHACO - RESISTENCIA;23/10/2025;SANTA FE - ROSARIO;OK;-;OK;13-jul;HECTOR; $ 155.735,44 ; $ 30.000,00 ; $ 5.000,00 ; $ 190.735,44 ;23-jul;27-jul;
AD670NN;RENAULT;KWID ICONIC 1.0;2019;CAR FRANCE;10/7/2025;15/9/2025;SOL;CHACO - RESISTENCIA;6/10/2025;SANTA FE - FUNES;OK;;OK;13-jul;HECTOR;;;;;;;
AF620UY;RENAULT;STEPWAY PH2 INTENS 1.6;2023;CAR FRANCE;21/4/2025;16/9/2026;SOL;CHACO - BARRANQUERAS;30/9/2025;SANTA FE - ROSARIO ;OK;;PTE;;;;;; $ -   ;;;
AD999PC;RENAULT;KANGOO II EXPRESS CONFORT 5 A 1.6 SCE;2019;CAR FRANCE;17/3/2025;12/8/2025;SOL;CHACO - LAS BREÑAS;28/8/2025;SANTA FE - ROSARIO;OK;;PROCESO;13-jul;HECTOR ;;;; $ -   ;;;
LHA198;VW;GOL TREND 1.6;2012;CLIENTE;19/12/2024;16/4/2025;MARCHICA;SANTA FE - ROSARIO;30/4/2025;SANTA FE - BAIGORRIA ;OK;;OK;;;;;;;;;
AD863MG;NISSAN;FRONTIER CD XE 2.3 D 4X4 MT;2019;KYOTO;30/4/2024;23/4/2025;SOL;CORRIENTES - MERCEDES;29/5/2025;SANTA FE - FUNES;OK;;PTE;"""""""""""";;;;; $ -   ;;;
AB765TU;RENAULT;SANDERO EXPRESSION PACK;2017;CLIENTE;20/12/2024;24/5/2025;SOL;BS AS - ARRIBEÑOS ;10/6/2025;SANTA FE - ROSARIO;PTE;TIENE UNA MULTA DEL CLIENTE ANTERIOR QUE SE NEGÓ A PAGAR ;PTE;;;;;; $ -   ;;;TIENE UNA MULTA DEL CLIENTE ANTERIOR QUE SE NEGÓ A PAGAR 
AB339UO;FIAT;PALIO ATTRACTIVE 5P 1.4 8V;2017;CLIENTE;27/11/2024;6/2/2025;SOL;BS AS - ARENALES;26/2/2025;SANTA FE - ROSARIO ;OK;;OK;;;;;; $ -   ;;;
AF676NM;RENAULT;NUEVO SANDERO INTENS 1.6;2022;CLIENTE;31/10/2024;18/1/2025;SOL;BS AS - COLONIA;17/2/2025;SANTA FE - ROLDAN;OK;;OK;;;;;; $ -   ;;;
AB115WZ;FORD;FOCUS 2.0L N MT AT SE PLUS 4 PTAS;2017;CLIENTE;31/7/2025;5/12/2025;SOL;SANTA FE - ROSARIO;26/12/2025;SANTA FE - BAIGORRIA ;PTE;9/6/2026;OK;;;;;; $ -   ;;;
AG386XO;RENAULT;SANDERO STEPWAY INTENS 1.6;2024;METZ;10/7/2025;2/12/2025;SOL;CHACO - TRES ISLETAS;9/1/2026;SANTA FE - BAIGORRIA ;OK;;OK;13-jul;HECTOR;;;; $ 60.000,00 ;23-jul;;
HOI822;FIAT;PUNTO HLX 1.8;2008;CLIENTE;20/8/2025;29/12/2025;SOL;SANTA FE - ROSARIO;22/1/2026;SANTA FE - PEREZ;OK;;OK;;;;;; $ -   ;;;
AE641KE;RENAULT;CAPTUR INTENS 1.6 CVT;2021;KYOTO;14/10/2025;15/12/2025;SOL;CHACO - LAS BREÑAS;5/1/2026;SANTA FE - FUNES;OK;;OK;;;;;; $ -   ;;;
AD900QU;RENAULT;CAPTUR ZEN 2.0;2019;CLIENTE;8/5/2025;3/12/2025;SOL;SANTA FE - ROSARIO;23/12/2025;SANTA FE - ROSARIO ;OK;;OK;;;;;; $ -   ;;;
OVK261;VW;AMAROK DARK LABEL 4X2;2015;CLIENTE;2/10/2025;27/12/2025;SOL;SANTA FE - ROSARIO;9/1/2026;SANTA FE - ROSARIO;PTE;TIENE UNA MULTA DEL CLIENTE ANTERIOR QUE SE NEGÓ A PAGAR ;OK;;;;;; $ -   ;;;
AD570NZ;PEUGEOT;2008 FELINE 1.6;2019;METZ;31/7/2025;26/12/2025;SOL;CORRIENTES - CORRIENTES;15/1/2026;SANTA FE - ROSARIO;OK;;OK;;ACOR; $ 30.048,05 ; $ -   ; $ -   ; $ 30.048,05 ;;;
AC770NB;NISSAN;VERSA ADVANCE MT PURE DRIVE F2;2018;METZ;14/10/2025;22/12/2025;SOL;CORRIENTES - CORRIENTES;16/1/2026;SANTA FE - FUNES;OK;;OK;MULTA;ACOR; $ 58.062,45 ; $ -   ; $ -   ; $ 58.062,45 ;;;
AF786JD;RENAULT;SANDERO INTENS 1.6;2023;CAR FRANCE;5/9/2025;15/12/2025;SOL;CHACO - FONTANA;12/1/2026;SANTA FE - VGG;OK;;PROCESO;13-jul;HECTOR ;;;; $ -   ;;;
PEN415;FORD;FIESTA 1,6L SE PLUS POWERSHIFT;2015;CAR FRANCE;10/7/2025;9/12/2025;SOL;CHACO - RESISTENCIA;13/1/2026;SANTA FE - ROSARIO;OK;;OK;13-jul;HECTOR ;;;; $ -   ;;;
