;;;;;;;;;;;;;;18/6/2024;3/8/2026;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;776;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;1619;1483;;;;;;;;;;;;;;;;
;;;;;;;;;;$ 5.765.176;$ 12.491.307.393;;;;;COSTO;;;;;;;;;;;;;;;
 N° ; DOMINIO ; MARCA ; MODELO  ; Vendedor ; MOTOR ; AÑO ; COLOR ; KM ; Proveedor ; NRO OPERACIÓN ; PRECIO INFOAUTO COMPRA ; POSICION ; ESTADO ; Fecha compra ; Fecha venta ;COMPRA;FLETE;GASTOS PREPARACION;Patentes - Bajas;Otros Gastos;Costo;Ref. Costo / Info;Total Gastos;;;;;;;;
1;ORW310;PORSCHE;CAYENNE 3.6 V6 300 HP;;NAFTA;2013;GRIS PLATA;47.000;-;-;$ 2.400.000;Funes Exclusivos;-;1/5/2019;Consignacion;;;$ 4.500;;;$ 4.500;43532;$ 4.500;;;;;;;;
2;KUO609;CHEVROLET;AGILE 1.4 LTZ;;NAFTA;2012;ROJO;87.300;-;-;$ 205.000;Entregado;Entregado;8/4/2019;9/5/2019;$ 139.570;;$ 1.000;;;$ 140.570;$ 1.000;;;;;;;;;
3;PII362;CHEVROLET;ONIX 1.4 N LTZ;;NAFTA;2015;AZUL;44.200;-;-;$ 396.000;Funes Exclusivos;Entregado;14/6/2019;15/9/2019;$ 268.800;$ 4.000;;;;$ 272.800;$ 4.000;;;;;;;;;
4;PLN180;CHEVROLET;ONIX 1.4 N LTZ;;NAFTA;2016;BLANCO;34.000;-;-;$ 340.000;VENDIDO;Entregado;8/4/2019;;$ 238.160;$ 4.200;;;;$ 242.360;$ 4.200;;;;;;;;;
5;OSJ596;CHEVROLET;TRACKER LTZ;;NAFTA;2015;NEGRA;71.000;-;-;$ 425.000;VENDIDO;Entregado;15/9/2018;26/3/2019;$ 400.000;;;;;$ 400.000;$ 0;;;;;;;;;
6;LFZ555;DODGE;JOURNEY;2.4 SXT 3 FILAS L/11;NAFTA;2012;BLANCO;130.000;-;-;$ 550.000;Entregado;Entregado;1/3/2019;21/ago;$ 250.000;;$ 9.700;$ 5.423;;$ 265.123;$ 15.123;;;;;;;;;
7;PEB756;FIAT;STRADA  ADVENTURE 1.6 DC LOCKER;;NAFTA;2015;ROJA;59.200;-;-;$ 365.000;VENDIDO;Entregado;1/2/2018;30/3/2019;$ 173.000;$ 3.200;;;;$ 176.200;$ 3.200;;;;;;;;;
8;ONB827;FORD;FIESTA;1.6 L S;NAFTA;2015;GRIS ETOILE;4.000;-;-;$ 330.000;VENDIDO;Entregado;15/5/2019;;$ 249.600;$ 4.200;;;;$ 253.800;$ 4.200;;;;;;;;;
9;AD077TA;NISSAN;KICKS ADVANCE CVT;;NAFTA;2018;ROJO;0KM;-;-;$ 680.000;VENDIDO;Entregado;;16/3/2019;$ 564.000;$ 4.200;;;;$ 568.200;$ 4.200;;;;;;;;;
10;AD077TD;NISSAN;KICKS ADVANCE CVT;;NAFTA;2018;GRIS CLARO;0KM;-;-;$ 730.000;VENDIDO;Entregado;17/4/2019;;$ 670.000;$ 4.200;;;;$ 674.200;$ 4.200;;;;;;;;;
11;ACD005AF;NISSAN;MARCH; ACTIVE PURE DRIVE F2;NAFTA;2018;BLANCO;0KM;-;-;$ 340.000;Entregado;Entregado;12/4/2019;12/4/2019;$ 350.000;$ 4.200;;;;$ 354.200;$ 4.200;;;;;;;;;
12;NMJ242;PEUGEOT;208;1.5 5P ALLURE;NAFTA;2014;ROJO;60.000;-;-;$ 300.000;VENDIDO;Entregado;10/3/2019;18/6/2019;$ 329.000;;$ 9.000;;;$ 338.000;$ 9.000;;;;;;;;;
