;;;;;;;;;;;;;;;;;;;;;;;;;Estado de las publicaciones sobre Stock Fisico;;;
;;;;;;;;;;;;;;03/08/2026;162;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;66,67%;0,00%;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
N°;DOMINIO;MARCA;MODELO ;VERSION;MOTOR;AÑO;COLOR;KM;PRECIO PERMUTA;PRECIO CONTADO;INFO AGOSTO 2026;INFO JULIO 2026;DIF INFO JUL 26/AGO 26;UBICACIÓN;ANTIG;STATUS;COSTO;Ref. Compra / Info;Proveedor;Facturacion;Costo Repo;Margen $;Margen %;;RG;ML;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;AA022XQ;CITROEN;C3;1.5 FEEL;NAFTA;2016;BORDO;106.000;$ 13.300.000;$ 13.100.000;$ 13.000.000;$ 13.300.000;-2,3%;Funes Exclusivos;180;STOCK;$ 11.019.966;-22%;Cliente;$ 9.900.000;$ 10.088.701;$ 3.011.299;29,8%;;RG;;;
2;AF909SG;CITROEN;C3;1.6 VTI 115 EAT6 FEEL PACK AM22;NAFTA;2023;GRIS PLATA + BLANCO;79.000;$ 20.900.000;$ 20.600.000;$ 21.600.000;$ 22.100.000;-2,3%;Salto Grande;82;STOCK;$ 14.460.000;-27%;Car France;$ 14.060.000;$ 15.695.276;$ 4.904.724;31,2%;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;AD447EF;FIAT;ARGO;PRECISION 1.8;NAFTA;2019;NEGRO;110.000;$ 17.900.000;$ 17.500.000;$ 17.300.000;$ 18.300.000;-5,5%;Chap - Japo;40;STOCK;$ 12.760.000;-31%;Cliente;$ 12.400.000;$ 11.932.324;$ 5.567.676;46,7%;;;;;
4;AB213GR;FIAT;PALIO;ATTRACTIVE 1.4 8V;NAFTA;2017;ROJO;151.000;$ 12.500.000;$ 12.500.000;$ 14.850.000;$ 14.750.000;0,7%;Funes Exclusivos;116;STOCK;$ 10.827.000;-24%;Cliente;$ 10.200.000;$ 11.322.602;$ 1.177.398;10,4%;;RG;;;
5;MOW449.;FIAT;PUNTO;1.4 ATTRACTIVE;NAFTA;2013;NEGRO;141.000;$ 11.500.000;$ 11.300.000;$ 12.300.000;$ 12.600.000;-2,4%;Funes Exclusivos;137;STOCK;$ 9.699.510;-25%;Cliente;$ 8.800.000;$ 9.248.370;$ 2.051.630;22,2%;;RG;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;GPB198;FORD;ECOSPORT;1.6L XLS;NAFTA;2007;NEGRO;206.000;$ 7.300.000;$ 7.000.000;$ 8.800.000;$ 8.800.000;0,0%;Funes Exclusivos;125;STOCK;$ 6.106.840;-36%;Cliente;$ 6.000.000;$ 5.656.862;$ 1.343.138;23,7%;;RG;;;
