;;;;;VENTAS;TOMA VU;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;AGUSTINA;7;4;57,14 %;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;ROBINSON;4;2;50,00 %;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;OTROS;1;0;0,00 %;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;Sub SALON;12;6;50,00 %;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;Margenes sobre REPOSICION (Info - ref de compra);;;Margenes sobre historico;;;;42%;33%;;;;;;;;;;;;;;;;;;;;;;;
;;;; FACTURACION TOTAL ;; $ 203.900.000 ;;;; $ 163.549.568 ;24,67 %; $ 40.350.432 ; $ 167.017.819 ;22,08 %; $ 36.882.181 ; $ 158.400.000 ; $ 32.600.000 ; $ 12.900.000 ;;111;6;;; $ 58.200.000 ;-43,99 %;;;;;;;;;;;;; $ -   ; $ -   ; $ -   ;
;;;; VALOR PROMEDIO POR UNIDAD VENDIDA ;; $ 16.991.667 ;;;;;;;;;;;;;;;50,00 %;USADO;;;;USADO;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; $ 3.537.330 ;;; $ 119.000 ; $ 119.000 ; $ -   ;
Nro;FECHA;DOMINIO;MARCA;MODELO;AÑO;PRECIO DE VENTA;Precio de Infoauto;Info Historica Compra;Dif Info / Compra;Costo reposicion;MARGEN %;Margen $;PRECIO DE COSTO;MARGEN %;MARGEN $;EFECTIVO;USADO;Credito;Vendedor;Rotacion en días;Toma VU;Modelo;Dominio;Infoauto;Infoauto;Modelo;Dominio;Infoauto;Infoauto;ESTADO;Ingresos;Escribania;Transferencia;Bajas + patentes;Resultado;;;;;;
1;06/07/26;AD521AL;FORD;ECOSPORT TITANIUM 1.5L MT N;2019; $ 21.500.000 ; $ 20.800.000 ; $ 21.500.000 ;-20,93 %; $ 16.446.802 ;30,72 %; $ 5.053.198 ; $ 17.000.300 ;26,47 %; $ 4.499.700 ; $ 13.500.000 ; $ 8.000.000 ;;Robinson;172;VU;Kangoo 1.5 DCI Authentique 2011; JXF909 ; $ 10.700.000 ;-25,23 %;;;;;; $ 990.000 ; $ 85.000 ; $ 853.871 ;; $ 51.129 ;;RobinsonVU; $ 119.000 ; $ 119.000 ; $ -   ;
2;06/07/26;AC765KU.;PEUGEOT;208 ALLURE 1.6;2018; $ 16.300.000 ; $ 15.100.000 ; $ 15.400.000 ;-13,05 %; $ 13.129.872 ;24,14 %; $ 3.170.128 ; $ 13.390.730 ;21,73 %; $ 2.909.270 ; $ 10.300.000 ; $ 6.000.000 ;;Agustina;38;VU;Fiesta Ambiente 1.6; IJN655 ; $ 7.700.000 ;-22,08 %;;;;;; $ 950.000 ; $ 50.000 ; $ 691.019 ;; $ 208.981 ;;AgustinaVU; $ 119.000 ; $ 119.000 ; $ -   ; $ 47.162 
3;09/07/26;HQU572;PEUGEOT;206 XT 1.6 5P;2008; $ 4.900.000 ; $ 6.100.000 ; $ 6.100.000 ;-42,62 %; $ 3.500.000 ;40,00 %; $ 1.400.000 ; $ 3.500.000 ;40,00 %; $ 1.400.000 ; $ 4.900.000 ;;;Robinson;37;;;;;;;;;;; $ -   ; $ -   ; $ -   ;; $ -   ;;Robinson; $ 119.001 ; $ 119.000 ; $ 1 ; $ 18.551 
4;10/07/26;LNZ817;CHEVROLET;SPARK 1.2 LT;2012; $ 9.900.000 ; $ 8.650.000 ; $ 8.850.000 ;-17,63 %; $ 7.124.746 ;38,95 %; $ 2.775.254 ; $ 7.289.480 ;35,81 %; $ 2.610.520 ; $ 9.900.000 ;;;Agustina;31;;;;;;;;;;; $ 590.000 ; $ 50.000 ; $ 619.817 ;; $ -79.817 ;;Agustina; $ 119.002 ; $ 119.000 ; $ 2 ; $ 22.040 
5;13/07/26;AE477GJ;RENAULT;KWID INTENS 1.0;2020; $ 14.500.000 ; $ 15.000.000 ; $ 14.700.000 ;-17,69 %; $ 12.346.939 ;17,44 %; $ 2.153.061 ; $ 12.100.000 ;19,83 %; $ 2.400.000 ; $ 14.500.000 ;;;Robinson;61;;;;;;;;;;; $ -   ; $ -   ; $ -   ;; $ -   ;;Robinson; $ 119.003 ; $ 119.000 ; $ 3 ; $ 75.205 
6;13/07/26;AF806GU;TOYOTA;YARIS XS 1.5 6M/T 5 PUERTAS;2023; $ 26.200.000 ; $ 26.800.000 ; $ 26.000.000 ;-16,15 %; $ 22.470.769 ;16,60 %; $ 3.729.231 ; $ 21.800.000 ;20,18 %; $ 4.400.000 ; $ 17.900.000 ; $ 8.300.000 ;;Agustina;24;VU;Fox 1.6 trendline 2012;LDF784; $ 11.400.000 ;-27,19 %;;;;;; $ 1.250.000 ; $ 50.000 ; $ 987.963 ;; $ 212.037 ;;AgustinaVU; $ 119.003 ; $ 119.000 ; $ 3 ;52865,75342
7;16/07/26;MQJ636;FORD;ECOSPORT SE 1.6L MT N;2013; $ 13.000.000 ; $ 12.600.000 ; $ 13.000.000 ;-18,63 %; $ 10.253.249 ;26,79 %; $ 2.746.751 ; $ 10.578.749 ;22,89 %; $ 2.421.251 ; $ 13.000.000 ;;;Agustina;184;;;;;;;;;;; $ 750.000 ; $ 50.000 ;;; $ 700.000 ;;Agustina; $ 119.003 ; $ 119.000 ; $ 3 ;190553,4247
8;17/07/26;OXL597;RENAULT;STEPWAY DYNAMIQUE 1.6 16V;2015; $ 14.900.000 ; $ 14.750.000 ; $ 15.300.000 ;-15,95 %; $ 12.397.712 ;20,18 %; $ 2.502.288 ; $ 12.860.000 ;15,86 %; $ 2.040.000 ; $ 9.000.000 ;; $ 5.900.000 ;Agustina;227;;;;;;;;;;; $ 1.100.000 ; $ 85.000 ;;; $ 1.015.000 ;;Agustina; $ 119.003 ; $ 119.000 ; $ 3 ;275198,6301
9;21/07/26;MQM470;FORD;FOCUS EXE STYLE 1.6L;2013; $ 11.900.000 ; $ 12.500.000 ; $ 13.200.000 ;-33,83 %; $ 8.271.742 ;43,86 %; $ 3.628.258 ; $ 8.734.960 ;36,23 %; $ 3.165.040 ; $ 7.100.000 ; $ 4.800.000 ;;Agustina;124;VU;Gol Power 1.6;IZD432; $ 7.300.000 ;-34,25 %;;;;;; $ 730.000 ;;;; $ 730.000 ;;AgustinaVU; $ 119.000 ; $ 119.000 ; $ -   ;
10;24/07/26;LNI801;RENAULT;DUSTER PRIVILEGE 2.0 4X2;2012; $ 12.900.000 ; $ 13.500.000 ; $ 13.700.000 ;-25,89 %; $ 10.004.880 ;28,94 %; $ 2.895.120 ; $ 10.153.100 ;27,05 %; $ 2.746.900 ; $ 5.900.000 ;; $ 7.000.000 ;Robinson;102;VU;Bora 2.0 trendline 2007;GOO700; $ 12.200.000 ;-100,00 %;;;;;; $ 750.000 ; $ 50.000 ;;; $ 700.000 ;;RobinsonVU; $ 119.000 ; $ 119.000 ; $ -   ;
11;24/07/26;AG501SJ;HONDA;ZRV RZ1 TRG;2024; $ 42.000.000 ; $ 44.700.000 ; $ 47.500.000 ;-23,56 %; $ 34.170.092 ;22,91 %; $ 7.829.908 ; $ 36.310.500 ;15,67 %; $ 5.689.500 ; $ 42.000.000 ;;;Lucas;246;;;;;;;;;;;;;;;;;Lucas; $ 119.000 ; $ 119.000 ; $ -   ;
